order_item_id,order_id,product_id,quantity
1,1,17,1
2,2,28,2
3,3,1,2
4,4,11,3
5,5,18,4
6,6,10,1
7,7,22,1
8,8,14,5
9,9,11,5
10,10,12,5
11,11,16,4
12,12,16,1
13,13,5,3
14,14,8,1
15,15,6,4
16,16,18,5
17,17,7,4
18,18,3,4
19,19,22,1
20,20,18,4
21,21,25,4
22,22,21,3
23,23,20,2
24,24,4,2
25,25,9,5
26,26,22,2
27,27,10,1
28,28,11,3
29,29,9,5
30,30,13,1
31,31,4,2
32,32,5,3
33,33,3,3
34,34,8,4
35,35,1,4
36,36,2,4
37,37,22,5
38,38,30,3
39,39,10,4
40,40,18,5
41,36,14,5
42,32,5,1
43,26,11,5
44,40,28,5
45,36,17,2
46,35,13,1
47,8,21,4
48,36,29,5
49,2,9,3
50,12,16,5
51,31,18,4
52,18,6,3
53,27,17,1
54,23,14,3
55,14,23,2
56,25,15,5
57,20,19,4
58,29,24,1
59,16,4,2
60,34,30,4
61,21,10,5
62,22,10,3
63,7,14,4
64,31,22,5
65,6,28,5
66,1,22,3
67,7,21,1
68,5,4,5
69,37,11,1
70,28,22,5
71,20,21,4
72,40,18,2
73,33,19,1
74,39,16,5
75,6,25,2
76,29,23,4
77,13,28,4
78,39,2,3
79,12,9,3
80,38,8,3
