order_id,user_id,order_date
1,24,1978-05-23
2,21,1984-11-16
3,40,2010-06-01
4,36,2006-11-04
5,17,1984-11-20
6,36,1975-04-04
7,18,1976-12-23
8,6,2007-09-25
9,1,1983-12-31
10,29,1976-02-01
11,40,2025-08-05
12,47,2013-02-27
13,38,2019-06-19
14,8,2015-12-03
15,29,2024-05-06
16,21,2000-10-11
17,19,1982-06-17
18,36,1995-06-09
19,24,1989-07-30
20,45,1983-03-12
21,31,1977-12-24
22,18,1999-10-08
23,12,2009-12-28
24,23,1981-02-28
25,48,1980-07-23
26,5,1997-12-15
27,24,2016-05-22
28,38,1975-05-28
29,21,1972-08-02
30,20,2025-02-21
31,50,1988-04-02
32,46,2022-12-03
33,30,2000-09-12
34,50,1988-02-11
35,47,1987-11-25
36,29,2005-10-23
37,34,1973-01-03
38,26,2016-03-25
39,7,2015-11-21
40,49,1978-10-19
