payment_id,order_id,amount
1,1,4253.72
2,2,772.36
3,3,4300.12
4,4,4178.17
5,5,4550.87
6,6,1737.49
7,7,3749.43
8,8,2095.14
9,9,4373.61
10,10,1571.11
11,11,894.83
12,12,3994.82
13,13,4495.21
14,14,2843.45
15,15,2619.93
16,16,1125.26
17,17,1382.68
18,18,1535.37
19,19,1532.84
20,20,3302.32
21,21,1995.47
22,22,881.57
23,23,2161.84
24,24,2176.19
25,25,965.0
26,26,3525.64
27,27,1933.11
28,28,4142.22
29,29,724.57
30,30,2377.65
31,31,574.52
32,32,3132.46
33,33,4399.76
34,34,4128.78
35,35,4634.69
36,36,3829.81
37,37,2618.85
38,38,1354.67
39,39,1560.71
40,40,2777.87
